"spp","source","odate"
"Yellow Rail","This Study",287
"Virginia Rail","This Study",288
"Virginia Rail","This Study",288
"Virginia Rail","This Study",288
"Yellow Rail","This Study",290
"Virginia Rail","This Study",291
"Virginia Rail","This Study",292
"Yellow Rail","This Study",293
"Virginia Rail","The Bluebird",215
"Virginia Rail","The Bluebird",222
"Virginia Rail","The Bluebird",238
"Virginia Rail","The Bluebird",238
"Virginia Rail","The Bluebird",223
"Yellow Rail","The Bluebird",239
"Virginia Rail","The Bluebird",319
"Virginia Rail","The Bluebird",284
"Virginia Rail","The Bluebird",294
"Virginia Rail","The Bluebird",281
"Virginia Rail","The Bluebird",281
"Virginia Rail","The Bluebird",279
"Virginia Rail","The Bluebird",286
"Virginia Rail","The Bluebird",297
"Yellow Rail","The Bluebird",282
"Yellow Rail","The Bluebird",284
"Yellow Rail","The Bluebird",279
"Yellow Rail","The Bluebird",290
"Yellow Rail","The Bluebird",300
"Yellow Rail","The Bluebird",302
"Yellow Rail","The Bluebird",294
"Yellow Rail","The Bluebird",293
"Yellow Rail","The Bluebird",294
"Yellow Rail","The Bluebird",278
"Virginia Rail","The Bluebird",244
"Virginia Rail","The Bluebird",267
"Virginia Rail","The Bluebird",269
"Virginia Rail","The Bluebird",269
"Virginia Rail","The Bluebird",256
"Yellow Rail","The Bluebird",267
"Yellow Rail","The Bluebird",267
"Yellow Rail","The Bluebird",269
"Yellow Rail","The Bluebird",265
"Yellow Rail","The Bluebird",254
"Virginia Rail","The Bluebird",307
"Virginia Rail","The Bluebird",307
"Yellow Rail","The Bluebird",290
"Yellow Rail","The Bluebird",301
"Yellow Rail","The Bluebird",286
"Yellow Rail","The Bluebird",297
